measure,component,rate_1990,rate_2023,rate_2023_lower,rate_2023_upper,absolute_change_1990_2023,percent_change_1990_2023,eapc_percent,eapc_lower_percent,eapc_upper_percent,durbin_watson,ljung_box_p_lag1,quadratic_term_p,piecewise_break_year,piecewise_eapc_early_percent,piecewise_eapc_late_percent,piecewise_bic,piecewise_delta_bic_vs_linear
"Age-standardized incidence per 100,000",Diabetes,238.43288245960304,387.16616208595417,362.4893349202042,410.311974713884,148.73327962635113,62.37951665561505,1.520206335304275,1.4693844658490551,1.571053659357724,0.16677593145834904,1.5479773924031718e-07,0.9779756274034884,1998,1.2610028614005842,1.5681317867969335,-212.20665684830033,-4.841669289202969
"Age-standardized incidence per 100,000",CKD,258.0371570025716,254.9089796989657,236.39887175017915,277.96145228499705,-3.1281773036058667,-1.2122972287958889,-0.032807699559112,-0.07517431483325954,0.009576878519368393,0.13894949463424594,1.4854950887000657e-08,0.044395098452671915,2007,-0.19654105729473015,0.14636019909939346,-201.54595433749108,-12.860207005827306
"Age-standardized deaths per 100,000",IHD,182.63599124304764,75.3714605822118,66.66405394975959,81.15850792162733,-107.26453066083585,-58.731321209350654,-2.92879945994845,-3.126160931493438,-2.7310359030641607,0.1570583971320231,1.2839223045183018e-07,0.012848459203159801,2013,-3.3263008206211753,-1.562036954284307,-141.19328272257394,-31.71952407920547
"Age-standardized deaths per 100,000",Stroke,46.51543752168109,29.92505571365936,25.883774672359262,32.974858583881144,-16.590381808021732,-35.66639956958132,-1.5624592227189371,-1.7993539117355684,-1.324993059929791,0.13137280870633208,2.464622734374671e-08,0.04096832325477944,2012,-2.0742090088747944,-0.13307964214849255,-113.52802572687729,-21.63085596480252
"Age-standardized deaths per 100,000",AF/flutter,3.997992414391128,5.903183454306991,4.828807430410037,6.560737822057518,1.9051910399158634,47.65369321507362,1.1383455849542923,0.984498113865806,1.2924274389906731,0.18784841045888392,8.57173005893516e-08,2.3742296244745353e-07,2013,0.828438744820148,2.2014945863689794,-183.55462860159332,-47.90019411999447
"Age-standardized deaths per 100,000",PAD,1.7574991259912007,1.6911786964088351,1.4200934397613556,1.8831224788760916,-0.06632042958236561,-3.7735682824287076,-0.6637835520577728,-1.092985781770217,-0.23271881991870913,0.09569250857306971,1.706459946835527e-07,0.0033686965846329896,1998,3.223148391621944,-1.365199458439248,-118.89210604587105,-51.48745062537944
"Age-standardized deaths per 100,000",Diabetes,15.14950902743425,13.086733306612626,11.50687564949874,14.743769149994488,-2.062775720821625,-13.61612258909608,-1.1968672517231105,-1.7089722747505864,-0.6820941158405924,0.07667906603043548,4.266278817040849e-08,0.0036260026547983363,2000,2.42067967010271,-2.2340818989197597,-81.1475073745594,-34.481401094390215
"Age-standardized deaths per 100,000",CKD,8.1412295770769,23.593815115343745,19.97048952717797,26.29226909582305,15.452585538266845,189.80653219479757,3.6401191019347134,3.407099781314349,3.8736635122626373,0.3244172735668256,1.2952349178194216e-06,0.08930774751302786,2015,3.870683474876069,2.4000938586306475,-103.17533950041219,-4.07286189367602
"Age-standardized DALYs per 100,000",IHD,3614.393482674874,1579.8544722261634,1453.4995207791465,1669.7098101372428,-2034.5390104487108,-56.28991475889411,-2.7263643612972843,-2.9406273838387786,-2.511628343293404,0.14372742727762894,1.2348327322684906e-07,0.00044932540446586774,2013,-3.1771091203232293,-1.1746778408329162,-156.1534405903845,-48.50713184099153
"Age-standardized DALYs per 100,000",Stroke,1022.4263147036072,727.4019944263621,648.9126288955163,797.9062627512069,-295.0243202772451,-28.855313682215833,-1.1998741461395124,-1.3813182225550058,-1.0180962389297665,0.1354534367130543,2.9049046351858862e-08,0.026184080591417663,2013,-1.5540643894136674,0.016592667410231243,-139.73754707819506,-25.31375590389591
"Age-standardized DALYs per 100,000",AF/flutter,123.258739839409,165.3443199095999,138.32507183191106,198.4534532590614,42.0855800701909,34.14409406182737,0.9410896397286539,0.8577850561975575,1.0244630295857204,0.2786676032189107,4.608679192291844e-06,3.516763854678287e-05,2015,0.8453381213275879,1.4613258717842692,-216.16154639870638,-24.308607411578862
"Age-standardized DALYs per 100,000",PAD,35.645143236332046,35.587659080932205,30.615075751233707,42.01638186229734,-0.057484155399841086,-0.16126784796097748,-0.46356134476152056,-0.7743869581404828,-0.15176206582414586,0.110325009860274,1.2814246072695365e-07,0.07683399120882685,1998,2.161731946049472,-0.9408016920745776,-116.28388175339371,-30.528433812360134
"Age-standardized DALYs per 100,000",Diabetes,692.37984655725,892.6198138862836,717.3475004275258,1100.0225688438468,200.23996732903368,28.9205366569659,0.37919324276225463,0.1837264614714007,0.5750413959978218,0.10791235760959267,1.3049577230951457e-07,0.150898855403166,1998,1.838938853387262,0.11199871621545565,-130.89225739748542,-16.725437283820824
"Age-standardized DALYs per 100,000",CKD,263.67998742762444,597.8962372893654,532.5718662771026,656.834409924115,334.216249861741,126.75070759910345,2.8326935285702737,2.6651081044584357,3.0005525108061537,0.35134153796860906,3.4945579820681097e-06,0.8303875238369143,2015,2.931181223989987,2.300853884929688,-122.90884503695482,0.8139594908238621
